Tổng hợp tài liệu PM hỗ trợ pháp lý doanh nghiệp,,,,,,,,,,,,,,,,,,,
STT,Tên tài liệu,Đường dẫn,Ghi chú,,,,,,,,,,,,,,,,
1,Cổng pháp luật quốc gia,https://phapluat.gov.vn/ho-tro-phap-ly-doanh-nghiep/hoi-dap,Hỗ trợ pháp lý doanh nghiệp trên Cổng pháp luật quốc gia,,,,,,,,,,,,,,,,
2,Chuyên trang hỗ trợ pháp lý doanh nghiệp v1,https://htpldn.moj.gov.vn/Pages/TrangChu.aspx,,,,,,,,,,,,,,,,,
3,Luật hỗ trợ doanh nghiệp nhỏ và vừa ,https://thuvienphapluat.vn/van-ban/Doanh-nghiep/Luat-Ho-tro-doanh-nghiep-nho-va-vua-2017-320905.aspx,Luật số 04/2017/QH14,,,,,,,,,,,,,,,,
4,Nghị định hỗ trợ pháp lý cho doanh nghiệp nhỏ và vừa ,https://thuvienphapluat.vn/van-ban/Doanh-nghiep/Nghi-dinh-55-2019-ND-CP-ho-tro-phap-ly-cho-doanh-nghiep-nho-va-vua-384245.aspx,Nghị định 55/2019/NĐ-CP,,,,,,,,,,,,,,,,
5,Đơn yêu cầu trợ giúp pháp lý,Đơn yêu cầu trợ giúp pháp lý.docx ,Mẫu 02-TP-TGPL,,,,,,,,,,,,,,,,
6,Phiếu yêu cầu tư vấn pháp lý của doanh nghiệp,Phiếu yêu cầu tư vấn pháp lý của doanh nghiệp.docx ,https://cabinlaw.vn/mau-phieu-yeu-cau-tu-van-phap-ly-cua-doanh-nghiep/,,,,,,,,,,,,,,,,
7,Báo cáo công tác hỗ trợ pháp lý doanh nghiệp nhỏ và vừa trên địa bàn tỉnh Hà Tĩnh,Báo cáo công tác hỗ trợ pháp lý doanh nghiệp nhỏ và vừa trên địa bàn tỉnh Hà Tĩnh.pdf ,,,,,,,,,,,,,,,,,
8,Báo cáo kết quả thực hiện các hoạt động hỗ trợ pháp lý cho doanh nghiệp năm 2024 tỉnh Bắc Ninh,Báo cáo kết quả thực hiện các hoạt động hỗ trợ pháp lý cho doanh nghiệp năm 2024 tỉnh Bắc Ninh.pdf ,https://htpldn.moj.gov.vn/noidung/tintuc/Lists/Chuongtrinhkehoach/Attachments/42/KH%20519%20HTPL%20B%E1%BA%AFc%20Giang.pdf,,,,,,,,,,,,,,,,
9,Mẫu báo cáo kết quả triển khai công tác hỗ trợ pháp lý cho doanh nghiệp nhỏ và vừa tại cơ quan chuyên môn thuộc UBND cấp tỉnh,"21a_Báo cáo kết quả triển khai công tác hỗ trợ pháp lý doanh nghiệp nhỏ và vừa.doc 

Mẫu 21a, 21b file Excel.xlsx ","Biểu số: 21a/TP/HTPLDN Ban hành kèm theo Thông tư số 17/2025/TT-BTP
Đơn vị báo cáo: Cơ quan chuyên môn thuộc UBND cấp tỉnh
Đơn vị nhận báo cáo: Sở Tư pháp
https://trolyluat.vn/bieu-mau/mau-bao-cao-ket-qua-trien-khai-cong-tac-ho-tro-phap-ly-cho-doanh-nghiep-nho-va-vua-tai-co-quan-chuyen-mon-thuoc-ubnd-cap-tinh-33996",,,,,,,,,,,,,,,,
10,Mẫu báo cáo kết quả triển khai công tác hỗ trợ pháp lý cho doanh nghiệp nhỏ và vừa tại UBND cấp tỉnh,"21b_Báo cáo kết quả triển khai công tác hỗ trợ pháp lý doanh nghiệp nhỏ và vừa.doc 

Mẫu 21a, 21b file Excel.xlsx ","Biểu số: 21b/TP/HTPLDN Ban hành kèm theo Thông tư số 17/2025/TT-BTP
Đơn vị báo cáo: Sở Tư pháp
Đơn vị nhận báo cáo: Bộ Tư pháp (Cục Kế hoạch - Tài chính)
https://trolyluat.vn/bieu-mau/mau-bao-cao-ket-qua-trien-khai-cong-tac-ho-tro-phap-ly-cho-doanh-nghiep-nho-va-vua-tai-ubnd-cap-tinh-33995",,,,,,,,,,,,,,,,
11,Đơn đăng ký tham gia mạng lưới tư vấn viên,Đơn đăng ký tham gia mạng lưới tư vấn viên.docx ,https://thuvienphapluat.vn/phap-luat/ho-so-dang-ky-tham-gia-mang-luoi-tu-van-vien-ho-tro-doanh-nghiep-nho-va-vua-nganh-ke-hoach-va-dau-t-575649-100118.html,,,,,,,,,,,,,,,,